,Full Name,Born,Age,Batting Style,Bowling Style,id,Playing Role,Fielding Position,Died,Also Known As,Education,Other,Nicknames,Height
0,Edward Alexander van der Merwe,"November 09, 1903, Rustenburg, Transvaal",,Right hand Bat,,47689,,Wicketkeeper,"February 26, 1971, Auckland Park, Johannesburg, Transvaal, (aged 67y 109d)",,,,,
0,Abdullah Shafique,"November 20, 1999, Sialkot",23y 320d,Right hand Bat,Right arm Offbreak,922941,Top order Batter,,,,,,,
0,Hewasandatchige Asiri Prasanna Wishvanath Jayawardene,"September 10, 1979, Colombo",44y 26d,Right hand Bat,,49236,Wicketkeeper Batter,Wicketkeeper,,,,,,
0,Hitesh G Kadam,"October 05, 1988, Mumbai, Maharastra",35y 1d,Left hand Bat,Slow Left arm Orthodox,924521,,,,,,,,
0,Chingleput Doraikannu Gopinath,"March 01, 1930, Madras (now Chennai)",93y 219d,Right hand Bat,Right arm Medium,28855,,,,Coimbatarao Gopinath,,,,
0,Amerasinghe Mudalige Jayantha Gamini Amerasinghe,"February 02, 1954, Colombo",69y 246d,Right hand Bat,Slow Left arm Orthodox,48118,,,,,,Referee,,
0,Dandeniyage Somachandra De Silva,"June 11, 1942, Galle",81y 117d,Right hand Bat,Legbreak Googly,48454,Bowler,,,,,Coach,,
0,Abdul Qadir Khan,"September 15, 1955, Lahore, Punjab",,Right hand Bat,Legbreak Googly,38973,Bowler,,"September 06, 2019, Lahore, (aged 63y 356d)",,,,,
0,Hayley Imogen Silver-holmes,"August 18, 2003",20y 49d,Right hand Bat,Right arm Medium fast,1142973,Bowling Allrounder,,,,,,,
0,Gerhardus Frederick Johannes Liebenberg,"April 07, 1972, Upington, Cape Province",51y 182d,Right hand Bat,Right arm Fast medium,45984,Opening Batter,Wicketkeeper,,,,,,
0,Dinuk Sulaksana Hettiarachchi,"July 15, 1976, Colombo",47y 83d,Right hand Bat,Slow Left arm Orthodox,49128,Allrounder,,,,"Ananda College, Colombo",,,5ft 4in
0,Abdul Razzaq,"December 02, 1979, Lahore, Punjab",43y 308d,Right hand Bat,Right arm Fast medium,39836,Allrounder,,,Abdur Razzaq,,,,
0,Abhishek Raman,"September 06, 1993, Delhi",30y 30d,Left hand Bat,Right arm Offbreak,1069497,,,,,,,,
0,Dihan Avishka Gunawardene,"May 26, 1977, Colombo",46y 133d,Left hand Bat,,49010,Opening Batter,,,,,,,
0,Deepak Jagbir Hooda,"April 19, 1995, Rohtak",28y 170d,Right hand Bat,Right arm Offbreak,497121,Allrounder,,,,,,,
0,Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu & Kashmir",21y 343d,Right hand Bat,Legbreak,1175485,Batter,,,,,,,
0,Emma Thompson,,,Right hand Bat,Right arm Medium,430847,Batter,,,,,,,
0,Ellekutige Rufus Nemesion Susil Fernando,"December 19, 1955, Colombo",67y 291d,Right hand Bat,,48803,,,,,,,,
0,Ekanayake Mudiyanselage Dushantha Ekanayake,"June 08, 1969, Negombo",54y 120d,Right hand Bat,Right arm Fast medium,48781,,,,,,Umpire,,
0,Ernest Austin Halliwell,"September 07, 1864, Drayton Green, Ealing, Middlesex, England",,Right hand Bat,,45393,,Wicketkeeper,"October 02, 1919, Hillbrow, Johannesburg, Transvaal, (aged 55y 25d)",,,,,
0,Emmanuel Alfred Martindale,"November 25, 1909, St Lucy, Barbados",,Right hand Bat,Right arm Fast,52424,,,"March 17, 1972, St Joseph Hospital, near Ashton Hall, St Peter, Barbados, (aged 62y 113d)",,,Coach,,
0,Ankit Singh Kushwah,"April 20, 1992",31y 169d,Right hand Bat,Right arm Medium,828535,,,,,,,,
0,Cyril Clairmonte Depeiaza,"October 10, 1928, Mount Standfast, St James, Barbados",,Right hand Bat,Right arm Bowler,51652,,Wicketkeeper,"November 10, 1995, Manchester, Lancashire, England, (aged 67y 31d)",,,,,
0,Abdur Rehman,"March 01, 1980, Sialkot, Punjab",43y 219d,Left hand Bat,Slow Left arm Orthodox,39091,Bowler,,,,,,,
0,Champaka Priyadarshana Hewage Ramanayake,"January 08, 1965, Colombo",58y 271d,Right hand Bat,Right arm Fast medium,50240,Bowler,,,,,Coach,,
0,Hashan Prasantha Tillakaratne,"July 14, 1967, Colombo",56y 84d,Left hand Bat,Right arm Offbreak,50744,Batter,Wicketkeeper,,,,,,
0,Andrew Begg,"October 06, 1961",62y ,,,1199198,,,,,,Umpire,,
0,Chamika Karunaratne,"May 29, 1996, Colombo",27y 130d,Right hand Bat,Right arm Medium fast,623695,Bowling Allrounder,,,,"Royal College, Colombo",,,
0,Gurjit Singh Sandhu,"March 24, 1992, Isleworth, Middlesex",31y 196d,Right hand Bat,Left arm Medium fast,355683,,,,,,,,
0,Annica Tankia Benjamin,"August 12, 1986",37y 55d,Right hand Bat,Right arm Offbreak,474209,,,,,,,,
0,Blessing Muzarabani,"October 02, 1996, Harare",27y 4d,Right hand Bat,Right arm Fast medium,827051,Bowler,,,,,,,
0,Gabrielle Joy Sutcliffe,,,Right hand Bat,Right arm Medium,1237869,,,,,,,,
0,Assad Badyr Fudadin,"August 01, 1985, Guyana",38y 66d,Left hand Bat,Right arm Medium fast,51866,Top order Batter,,,,,,,
0,Brian Simbarashe Mudzinganyama,"April 09, 1995, Harare",28y 180d,Left hand Bat,Right arm Offbreak,1147414,Opening Batter,,,,,,,
0,Colin de Grandhomme,"July 22, 1986, Harare",37y 76d,Right hand Bat,Right arm Medium fast,55395,Allrounder,,,,,,,
0,Hrishikesh Hemant Kanitkar,"November 14, 1974, Pune, Maharashtra",48y 326d,Left hand Bat,Right arm Offbreak,30018,Top order Batter,,,,,,,
0,Maramreddy Harishankar Reddy,"June 02, 1998, Rayachoti",25y 126d,Right hand Bat,Right arm Medium,1131755,Bowler,,,,,,Hari,
0,Henry Dudley Gresham Leveson Gower,"May 08, 1873, Titsey Place, Surrey",,Right hand Bat,Legbreak,16738,,,"February 01, 1954, Kensington, London, (aged 80y 269d)","Sir Henry Leveson Gower, Shrimp Leveson Gower","Winchester; Magdalen College, Oxford",,,
0,Homesdale Charles Nitschke,"April 14, 1905, Adelaide, South Australia",,Left hand Bat,,6931,,,"September 29, 1982, North Adelaide, South Australia, (aged 77y 168d)",Slinger,,,,
0,Abhijeet Saket,"August 03, 1995, Patna, Bihar",28y 64d,Right hand Bat,Right arm Medium,1163686,,,,,,,,
0,Avijit Singha Roy,"February 20, 1987, Kamrup, Assam",36y 228d,Left hand Bat,,425955,,,,,,,,
0,Budhisagar Krishnappa Kunderan,"October 02, 1939, Mulki, Karnataka",,Right hand Bat,Right arm Medium,30178,,Wicketkeeper,"June 23, 2006, Scotland, (aged 66y 264d)",changed name from Budhisagar Krishnappa Kunderam in 1964,,,,
0,Abhijit Sanjay Karambelkar,"June 04, 1991, Baroda, Gujarat",32y 124d,Right hand Bat,Right arm Medium,391168,,,,,,,,
0,Abhimanyu Rana,"September 21, 1991, Delhi",32y 15d,Left hand Bat,Slow Left arm Orthodox,425913,,,,,,,,
0,Christopher Stuart Cowdrey,"October 20, 1957, Farnborough, Kent",65y 351d,Right hand Bat,,10843,,,,,Tonbridge School,Commentator,"Cow, Woody",6ft 
0,Avishek Sinha,"October 19, 1984, Siwan, Bihar",38y 352d,Right hand Bat,Slow Left arm Orthodox,340269,,,,,,,,
0,Frederick Robert Spofforth,"September 09, 1853, Balmain, Sydney, New South Wales",,Right hand Bat,Right arm Fast medium,7663,,,"June 04, 1926, Ditton Hill Lodge, Long Ditton, Surrey, England, (aged 72y 268d)",,,,,
0,The Hon Frederick Somerset Gough Calthorpe,"May 27, 1892, Kensington, London",,Right hand Bat,Right arm Medium,10643,,,"November 19, 1935, The Home Green, Worplesdon, Surrey, (aged 43y 176d)",,Repton; Cambridge University,,,
0,Abhishek Omprakash Bhandari,"November 01, 1994, Indore, Madhya Pradesh",28y 339d,Right hand Bat,,1175432,,,,,,,,
0,Barinder Balbirsingh Sran,"December 10, 1992, Sirsa",30y 300d,Left hand Bat,Left arm Medium,537126,Bowler,,,,,,,
0,Abhishek Sakuja,"May 28, 1987, Hamirpur",36y 131d,Left hand Bat,Slow Left arm Orthodox,339958,,,,,,,,
0,Abhishek Sharma,"December 20, 1994, Meerut, Uttar Pradesh",28y 290d,Right hand Bat,Right arm Offbreak,1131614,,,,,,,,
0,Christopher Maitland Howard Hathorn,"April 07, 1878, Pietermaritzberg, Natal",,Right hand Bat,,45417,,,"May 17, 1920, Parktown West, Johannesburg, Transvaal, (aged 42y 40d)",,,,,
0,Chidhambaram Muralidharen Gautam,"March 08, 1986, Bangalore, Karnataka",37y 212d,Right hand Bat,,302208,Wicketkeeper,Wicketkeeper,,,,,,
0,Anthony Bourne Howard,"August 27, 1946, Lower Collymore Rock, St Michael, Barbados",77y 40d,Left hand Bat,Right arm Offbreak,52067,,,,,,Coach,,
0,Abid Ali,"October 16, 1987, Lahore, Punjab",35y 355d,Right hand Bat,Legbreak,39950,Opening Batter,,,,,,,
0,Dhananjaya Maduranga de Silva,"September 06, 1991, Colombo",32y 30d,Right hand Bat,Right arm Offbreak,465793,Allrounder,,,,"Debarawewa Central Hambantota, Mahanama College Colombo, Richmond College, Galle",,,5ft 8in
0,Arthur Gordon Chipperfield,"November 17, 1905, Ashfield, Sydney, New South Wales",,Right hand Bat,Legbreak,4570,,,"July 29, 1987, Ryde, Sydney, New South Wales, (aged 81y 254d)",,,,,
0,Aditya Pratap Singh,"December 12, 1989, Jammu",33y 298d,Right hand Bat,Right arm Medium,34825,,,,Kanu,,,,
0,Alexander Chalmers Bannerman,"March 21, 1854, Paddington, Sydney, New South Wales",,Right hand Bat,,4089,,,"September 19, 1924, Paddington, Sydney, New South Wales, (aged 70y 182d)",,,,Little Alec,
0,Andrew Barry McDonald,"June 05, 1981, Wodonga, Victoria",42y 123d,Right hand Bat,Right arm Fast medium,6553,Allrounder,,,,,,Ronnie,1.94 m
0,Abinash Bohara,"July 30, 1997, Salyan",26y 68d,Right hand Bat,Right arm Medium,1058508,Bowler,,,,,,,
0,Gundibail Rama Sunderam,"March 29, 1930, Udupi, Karnataka",,Right hand Bat,Right arm Fast medium,34154,,,"June 20, 2010, Mumbai, Maharashtra, (aged 80y 83d)",,,,,
0,Alexander Malcolm Matheson,"February 27, 1906, Omaha, North Auckland",,Right hand Bat,Right arm Medium,37702,,,"December 31, 1985, Auckland, (aged 79y 307d)",,,,,
0,Gundappa Rangnath Viswanath,"February 12, 1949, Bhadravati, Mysore",74y 236d,Right hand Bat,Legbreak,35712,Top order Batter,,,,,Referee,,
0,Georgia Kate Prestwidge,"December 17, 1997",25y 293d,Right hand Bat,Right arm Medium,792417,Bowler,,,,,,,
0,Alan Brown,"October 17, 1935, Rainworth, Nottinghamshire",87y 354d,Right hand Bat,Right arm Fast medium,9249,,,,,,,,
0,Christopher George de Villiers Burger,"July 12, 1935, Randfontein, Transvaal",,Right hand Bat,Right arm Medium,44076,,,"June 05, 2014, Howick, KwaZulu-Natal, (aged 78y 328d)",,,,,
0,Augustus Bernard Tancred,"August 20, 1865, Port Elizabeth, Cape Province",,Right hand Bat,Right arm Medium,47521,,,"November 23, 1911, Cape Town, Cape Province, (aged 46y 95d)",AB,"St. Aidan's College, Grahamstown",,,
0,Ganga Sridhar Raju,"April 25, 1993, Kakinada, Andhra",30y 164d,Left hand Bat,Legbreak Googly,477074,Top order Batter,,,,,,,
0,Hamilton Masakadza,"August 09, 1983, Harare",40y 58d,Right hand Bat,Right arm Medium,55608,Top order Batter,,,,,,,
0,Abu Jayed Chowdhury,"August 02, 1993",30y 65d,Right hand Bat,Right arm Fast medium,410763,Bowler,,,,,,,
0,Mohammed Abul Hasan,"August 05, 1992, Kulaura, Sylhet",31y 62d,Left hand Bat,Right arm Medium fast,373439,Bowler,,,,,,Raju,
0,Dattaram Dharmaji Hindlekar,"January 01, 1909, Bombay (now Mumbai), Maharashtra",,Right hand Bat,,29297,,Wicketkeeper,"March 30, 1949, Bombay (now Mumbai), Maharashtra, (aged 40y 88d)",,,,,
0,Alvadon Basil Williams,"November 21, 1949, Caymanas Estate, St Catherine, Jamaica",,Right hand Bat,,53228,,,October 2015,,,,,
0,Ashton Charles Agar,"October 14, 1993, Melbourne, Victoria",29y 357d,Left hand Bat,Slow Left arm Orthodox,505120,Bowler,,,,,,,
0,Alok Chandra Sahoo,"November 05, 1989, Cuttack",33y 335d,Right hand Bat,Right arm Medium,279660,,,,,,,,
0,Andile Lucky Phehlukwayo,"March 03, 1996, Durban",27y 217d,Left hand Bat,Right arm Medium fast,540316,Bowling Allrounder,,,,,,Andy,
0,Arthur Chudleigh Beaumont Langton,"March 02, 1912, Pietermaritzburg, Natal",,Right hand Bat,"Right arm Fast medium, Right arm Medium",46132,,,"November 27, 1942, near Maiduguri, Nigeria, (aged 30y 270d)",Arthur Beaumont Chudleigh Langton,,,,
0,Aiden Craig Blizzard,"June 27, 1984, Shepparton, Victoria",39y 101d,Left hand Bat,Left arm Medium,4498,Batter,,,,,,Blizz,1.76 m
0,Chamara Kantha Kapugedera,"February 24, 1987, Kandy",36y 224d,Right hand Bat,Right arm Medium,209457,Middle order Batter,Occasional Wicketkeeper,,,,,Kapu,
0,Adam Craig Dale,"December 30, 1968, Ivanhoe, Victoria",54y 280d,Left hand Bat,Right arm Fast medium,4890,Bowler,,,,,,,
0,Alan Charles Dawson,"November 27, 1969, Cape Town, Cape Province",53y 313d,Right hand Bat,Right arm Medium fast,44682,,,,,,,,
0,Alasdair Campbell Evans,"January 12, 1989, Pembury, Kent",34y 267d,Right hand Bat,Right arm Medium fast,399259,Bowler,,,,,,,6ft 5in
0,Anthony Cameron Fisher Stokes,"November 01, 1998, Saint Peter Port",24y 339d,Right hand Bat,Slow Left arm Orthodox,1036525,,,,,,,,
0,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",51y 326d,Left hand Bat,Right arm Offbreak,5390,Wicketkeeper Batter,Wicketkeeper,,,,,"Gilly, Churchy",1.86 m
0,Charith Panduka Senanayake,"December 19, 1962, Colombo",60y 291d,Left hand Bat,Right arm Medium,50426,,,,,,,,
0,Abraham Waddington,"February 04, 1893, Clayton, Thornton, Yorkshire",,Right hand Bat,Left arm Fast medium,22251,,,"October 28, 1959, Throxenby, Scarborough, Yorkshire, (aged 66y 266d)",Abram Waddington,,,,
0,Geoffrey Alan Greenidge,"May 26, 1948, Fontabelle, St Michael, Barbados",75y 133d,Right hand Bat,Legbreak Googly,51902,,,,,,,,
0,Aakash Chopra,"September 19, 1977, Agra, Uttar Pradesh",46y 17d,Right hand Bat,"Right arm Medium, Right arm Offbreak",27639,Batter,,,,,,,
0,Aniket Vinod Choudhary,"January 28, 1990, Bikaner, Rajasthan",33y 251d,Right hand Bat,Left arm Medium,527299,Bowler,,,,,,,
0,Andrew Charles Hudson,"March 17, 1965, Eshowe, Natal (Zululand)",58y 203d,Right hand Bat,Right arm Medium,45458,Opening Batter,,,,,,,
0,Alan Charles Ingram Lock,"September 10, 1962, Marandellas (now Marondera), Mashonaland",61y 26d,Right hand Bat,Right arm Fast medium,55560,Bowler,,,,,,,
0,Chamara Iroshan Dunusinghe,"October 19, 1970, Colombo",52y 352d,Right hand Bat,,48473,,Wicketkeeper,,,,,,
